"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 17 14:57:30 CST 2022","Tue May 17 14:57:31 CST 2022","1803","test_edg","test_edg","TestPythonOrgSearch","","","test_search_in_baidu_com",""
"passed","Tue May 17 13:41:13 CST 2022","Tue May 17 13:43:08 CST 2022","114980","test_edg","test_edg","TestPythonOrgSearch","","","test_search_in_python_org",""
